,Kernel Name,BIC,s1_ls_converted,s2_ls_converted,pk1_ls_converted,pk1_pr_converted,pk2_ls_converted,pk2_pr_converted,s3_ls_converted,s1_ls_raw,s2_ls_raw,pk1_ls_raw,pk1_pr_raw,pk2_ls_raw,pk2_pr_raw,s3_ls_raw,add_scale1_K1,add_scale2_K2,add_period1_K3,scale3_mult_K4,scale3_mult_K4
0,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1388.817626953125,6507.179076442012,96.8468369168264,3184.6016307760165,56.5073996235927,6346.277371018022,5305.104839254308,5043.646130738435,1.7138855457305908,0.025507887825369835,0.8387724757194519,0.014883133582770824,1.671506643295288,1.3972786664962769,1.3284146785736084,RBF,Mat2.5,Per_Month,Per_Arb,RBF
1,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1398.3594970703125,6492.918342449047,96.80704288129454,5722.133998093782,52.559583072309145,6323.473231704146,5434.366163465712,5046.999946876808,1.7101294994354248,0.025497406721115112,1.5071173906326294,0.013843342661857605,1.6655004024505615,1.4313240051269531,1.3292980194091797,RBF,Mat2.5,Per_Month,Per_Arb,RBF
2,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1383.8018798828125,6457.67702180368,96.79857064838762,10113.212145770038,45.151792880009715,6315.3932957119405,5282.444628892122,5021.217202433833,1.7008475065231323,0.025495175272226334,2.663656234741211,0.01189225073903799,1.663372278213501,1.3913103342056274,1.3225072622299194,RBF,Mat2.5,Per_Month,Per_Arb,RBF
3,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1389.4044189453125,6502.043800071434,96.75767338386288,4885.079423621849,47.34863297199761,6345.85282587122,5137.938603577791,5057.790544792458,1.7125329971313477,0.02548440359532833,1.2866507768630981,0.012470862828195095,1.6713948249816895,1.3532497882843018,1.3321400880813599,RBF,Mat2.5,Per_Month,Per_Arb,RBF
4,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1396.090087890625,6459.560318558305,96.75687425004111,10714.473983623362,44.55202526681953,6308.938218010797,5168.054152594673,5016.205940317225,1.7013435363769531,0.025484193116426468,2.82201886177063,0.011734281666576862,1.6616721153259277,1.3611817359924316,1.3211873769760132,RBF,Mat2.5,Per_Month,Per_Arb,RBF
5,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1372.3594970703125,6505.786405422069,96.81348545573377,5456.25422668457,55.76880195681696,6342.111125734117,5495.024069680108,5032.172549212421,1.713518738746643,0.02549910359084606,1.437088966369629,0.014688598923385143,1.6704093217849731,1.4473003149032593,1.325392723083496,RBF,Mat2.5,Per_Month,Per_Arb,RBF
6,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1384.813720703125,6468.292460900767,96.76565057811912,10115.048824027732,45.150063780722796,6305.044894606978,5355.510749604967,5022.755612832529,1.7036434412002563,0.025486504659056664,2.664139986038208,0.011891795322299004,1.660646677017212,1.4105547666549683,1.3229124546051025,RBF,Mat2.5,Per_Month,Per_Arb,RBF
7,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1393.7872314453125,6464.83092435201,96.73255370833255,9034.603150544342,36.01069557225263,6296.896162386293,5291.081723813658,5014.269235964174,1.702731728553772,0.025477787479758263,2.379568099975586,0.009484633803367615,1.6585004329681396,1.393585205078125,1.3206772804260254,RBF,Mat2.5,Per_Month,Per_Arb,RBF
8,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1398.588134765625,6477.788150857996,96.88947388860915,4379.961220282095,50.361706935145236,6315.661691524364,5413.937304461444,5026.570635265774,1.7061444520950317,0.02551911771297455,1.1536108255386353,0.013264457695186138,1.6634429693222046,1.425943374633789,1.323917269706726,RBF,Mat2.5,Per_Month,Per_Arb,RBF
9,RBFplusMat2.5plusPer_MonthplusRBFxPer_Arb_exact_gp,1389.7091064453125,6468.584844871803,96.73096251266973,6664.236792599713,47.33581500693604,6311.299014903881,5309.804707915695,5027.743339397289,1.7037204504013062,0.025477368384599686,1.7552520036697388,0.012467486783862114,1.6622939109802246,1.3985165357589722,1.3242261409759521,RBF,Mat2.5,Per_Month,Per_Arb,RBF
