,ModelIteration,KernelStructure,BIC,"(1, ""'kernels.0.raw_outputscale'"")","(1, ""'raw_outputscale'"")","(3, ""'base_kernel.kernels.0.raw_lengthscale'"")","(3, ""'kernels.0.base_kernel.kernels.0.raw_lengthscale'"")","(5, ""'base_kernel.kernels.0.raw_period'"")","(5, ""'kernels.0.base_kernel.kernels.0.raw_period'"")","(7, ""'base_kernel.kernels.1.raw_lengthscale'"")","(7, ""'kernels.0.base_kernel.kernels.1.raw_lengthscale'"")","(9, nan)","(9, ""'kernels.1.raw_outputscale'"")","(11, nan)","(11, ""'kernels.1.base_kernel.kernels.0.raw_lengthscale'"")","(11, ""'kernels.1.base_kernel.raw_lengthscale'"")","(13, nan)","(13, ""'kernels.1.base_kernel.kernels.0.raw_alpha'"")","(13, ""'kernels.1.base_kernel.raw_alpha'"")","(15, nan)","(15, ""'kernels.1.base_kernel.kernels.1.raw_lengthscale'"")","(15, ""'kernels.2.raw_outputscale'"")","(17, nan)","(17, ""'kernels.1.base_kernel.kernels.1.raw_alpha'"")","(17, ""'kernels.2.base_kernel.raw_lengthscale'"")","(17, ""'kernels.2.base_kernel.raw_offset'"")","(19, nan)","(19, ""'kernels.1.base_kernel.kernels.2.raw_lengthscale'"")","(19, ""'kernels.1.base_kernel.kernels.2.raw_offset'"")","(19, ""'kernels.2.base_kernel.raw_alpha'"")","(19, ""'kernels.2.base_kernel.raw_period'"")","(19, ""'kernels.2.base_kernel.raw_period_length'"")","(19, ""'kernels.2.raw_outputscale'"")","(21, nan)","(21, ""'kernels.1.base_kernel.kernels.2.raw_alpha'"")","(21, ""'kernels.1.base_kernel.kernels.2.raw_period'"")","(21, ""'kernels.1.base_kernel.kernels.2.raw_period_length'"")","(21, ""'kernels.2.base_kernel.raw_lengthscale'"")","(21, ""'kernels.2.base_kernel.raw_offset'"")","(23, nan)","(23, ""'kernels.2.base_kernel.raw_alpha'"")","(23, ""'kernels.2.base_kernel.raw_period'"")","(23, ""'kernels.2.base_kernel.raw_period_length'"")"
0,"(0, 0)",AR2*RFF,-2267.9384765625,,0.07675516605377197,0.00040018546860665083,,0.0013648740714415908,,1.8466086387634277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(1, 0)",AR2*RFF,-2267.9345703125,,0.07675046473741531,0.00040018669096753,,0.0013647509040310979,,1.8504586219787598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(1, 1)",AR2*RFF+RQ,-2303.14501953125,0.03936178237199783,,,0.0006189056439325213,,0.0007741908193565905,,1.8865017890930176,,6.874964237213135,,,0.007907925173640251,,,0.0011616807896643877,,,,,,,,,,,,,,,,,,,,,,,,
3,"(2, 0)",AR2*RFF+RQ,-2283.574951171875,0.042164966464042664,,,0.0006193289300426841,,0.0007870504050515592,,1.8856867551803589,,6.381486415863037,,,0.009231120347976685,,,0.0012239573989063501,,,,,,,,,,,,,,,,,,,,,,,,
4,"(2, 1)",AR2*RFF+RQ+RQ,-2149.17236328125,0.021313680335879326,,,0.0022321143187582493,,0.0007917227922007442,,1.8574177026748657,,6.168246269226074,,,0.005049614701420069,,,0.0012450253125280142,,,6.168246269226074,,,0.005049614701420069,,,,,0.0012450253125280142,,,,,,,,,,,,,
5,"(2, 2)",AR2*RFF+RQ+RBF,-2282.913818359375,0.046135805547237396,,,0.0005406432319432497,,0.0008337651379406452,,1.879513144493103,,6.262175559997559,,,0.012706097215414047,,,0.0010794511763378978,,,0.04752179980278015,,,2.2066824436187744,,,,,,,,,,,,,,,,,,
6,"(2, 3)",AR2*RFF+RQ+Mat_2.5,-2266.966796875,0.011465348303318024,,,0.0016839206218719482,,0.0005141650908626616,,1.867492914199829,,0.0011658980511128902,,,2.254570245742798,,,0.9203136563301086,,,0.07411184161901474,,,0.0005396319320425391,,,,,,,,,,,,,,,,,,
7,"(2, 4)",AR2*RFF+RQ+Mat_1.5,,nan,,,nan,,nan,,nan,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,,,,,,,,,,,,,
8,"(2, 5)",AR2*RFF+RQ+Mat_0.5,,nan,,,nan,,nan,,nan,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,,,,,,,,,,,,,
9,"(2, 6)",AR2*RFF+RQ+AR2,-2298.544189453125,0.010687374509871006,,,0.004105318337678909,,0.001790195587091148,,1.8634865283966064,,5.925206184387207,,,0.01648898236453533,,,0.0010992095340043306,,,0.03719310089945793,,,0.0005475995712913573,,,,,,0.0007442928035743535,,,,,,,,,,,,
