,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"[(0, 0), 'RBF', -1903.8642578125]","[(0, 1), 'RBF+RBF', -1748.568603515625]","[(0, 2), 'RBF+Mat_2.5', -58.499107360839844]","[(0, 3), 'RBF+Mat_1.5', -456.9561462402344]","[(0, 4), 'RBF+Mat_0.5', -717.5039672851562]","[(0, 5), 'RBF+AR2', -1865.447998046875]","[(0, 6), 'RBF+Min', 614.3192749023438]","[(0, 7), 'RBF+Per_Arb', -1798.728271484375]","[(0, 8), 'RBF+Per_Year', -1957.1695556640625]","[(0, 9), 'RBF+Per_Season', -1825.0758056640625]","[(0, 10), 'RBF+Per_Month', -1883.815185546875]","[(0, 11), 'RBF+Per_Week', nan]","[(0, 12), 'RBF*RQ', -1684.920166015625]","[(0, 13), 'RBF*RBF', -2018.164794921875]","[(0, 14), 'RBF*Mat_2.5', -220.30816650390625]","[(0, 15), 'RBF*Mat_1.5', -493.6119384765625]","[(0, 16), 'RBF*Mat_0.5', -1435.929443359375]","[(0, 17), 'RBF*AR2', -1667.5733642578125]","[(0, 18), 'RBF*Min', 619.8969116210938]","[(0, 19), 'RBF*Per_Arb', -504.87310791015625]","[(0, 20), 'RBF*Per_Year', 1492.3958740234375]","[(0, 21), 'RBF*Per_Season', -444.2071228027344]","[(0, 22), 'RBF*Per_Month', 1889.41845703125]","[(0, 23), 'RBF*Per_Week', nan]"
1,"[(1, 0), 'RBF*RBF+RQ', -1939.3731689453125]","[(1, 1), 'RBF*RBF+RBF', -2008.2584228515625]","[(1, 2), 'RBF*RBF+Mat_2.5', -252.64999389648438]","[(1, 3), 'RBF*RBF+Mat_1.5', -419.8677673339844]","[(1, 4), 'RBF*RBF+Mat_0.5', -718.3218994140625]","[(1, 5), 'RBF*RBF+AR2', -1855.4425048828125]","[(1, 6), 'RBF*RBF+Min', 615.90185546875]","[(1, 7), 'RBF*RBF+Per_Arb', 1286.361328125]","[(1, 8), 'RBF*RBF+Per_Year', -2068.3349609375]","[(1, 9), 'RBF*RBF+Per_Season', -1854.001220703125]","[(1, 10), 'RBF*RBF+Per_Month', -1986.5557861328125]","[(1, 11), 'RBF*RBF+Per_Week', 2302.037109375]","[(1, 12), 'RBF*RBF*RQ', -2049.48779296875]","[(1, 13), 'RBF*RBF*RBF', -2006.4649658203125]","[(1, 14), 'RBF*RBF*Mat_2.5', -299.50201416015625]","[(1, 15), 'RBF*RBF*Mat_1.5', -475.3379821777344]","[(1, 16), 'RBF*RBF*Mat_0.5', -717.1221923828125]","[(1, 17), 'RBF*RBF*AR2', -1672.6256103515625]","[(1, 18), 'RBF*RBF*Min', 624.37890625]","[(1, 19), 'RBF*RBF*Per_Arb', -1614.752685546875]","[(1, 20), 'RBF*RBF*Per_Year', -2088.15380859375]","[(1, 21), 'RBF*RBF*Per_Season', -276.1500244140625]","[(1, 22), 'RBF*RBF*Per_Month', 128.91738891601562]","[(1, 23), 'RBF*RBF*Per_Week', 1910.66357421875]"
2,"[(2, 0), 'RBF*RBF*Per_Year+RQ', -929.2091674804688]","[(2, 1), 'RBF*RBF*Per_Year+RBF', -1863.3922119140625]","[(2, 2), 'RBF*RBF*Per_Year+Mat_2.5', -388.7701721191406]","[(2, 3), 'RBF*RBF*Per_Year+Mat_1.5', -2214.85693359375]","[(2, 4), 'RBF*RBF*Per_Year+Mat_0.5', -652.8717651367188]","[(2, 5), 'RBF*RBF*Per_Year+AR2', -2044.6817626953125]","[(2, 6), 'RBF*RBF*Per_Year+Min', -1996.1529541015625]","[(2, 7), 'RBF*RBF*Per_Year+Per_Arb', -1826.057861328125]","[(2, 8), 'RBF*RBF*Per_Year+Per_Year', -1967.3040771484375]","[(2, 9), 'RBF*RBF*Per_Year+Per_Season', 307.1893310546875]","[(2, 10), 'RBF*RBF*Per_Year+Per_Month', -2087.5703125]","[(2, 11), 'RBF*RBF*Per_Year+Per_Week', nan]","[(2, 12), 'RBF*RBF*Per_Year*RQ', 316.8929443359375]","[(2, 13), 'RBF*RBF*Per_Year*RBF', -1072.4005126953125]","[(2, 14), 'RBF*RBF*Per_Year*Mat_2.5', 462.8417053222656]","[(2, 15), 'RBF*RBF*Per_Year*Mat_1.5', -1993.827392578125]","[(2, 16), 'RBF*RBF*Per_Year*Mat_0.5', -1412.2384033203125]","[(2, 17), 'RBF*RBF*Per_Year*AR2', -1127.0689697265625]","[(2, 18), 'RBF*RBF*Per_Year*Min', 914.9520874023438]","[(2, 19), 'RBF*RBF*Per_Year*Per_Arb', 156.46131896972656]","[(2, 20), 'RBF*RBF*Per_Year*Per_Year', -1992.762451171875]","[(2, 21), 'RBF*RBF*Per_Year*Per_Season', -864.8248291015625]","[(2, 22), 'RBF*RBF*Per_Year*Per_Month', 803.8676147460938]","[(2, 23), 'RBF*RBF*Per_Year*Per_Week', 1703.6083984375]"
3,"[(3, 0), 'RBF*RBF*Per_Year+Mat_1.5+RQ', -918.395751953125]","[(3, 1), 'RBF*RBF*Per_Year+Mat_1.5+RBF', -877.6558837890625]","[(3, 2), 'RBF*RBF*Per_Year+Mat_1.5+Mat_2.5', -952.7916259765625]","[(3, 3), 'RBF*RBF*Per_Year+Mat_1.5+Mat_1.5', -561.3648681640625]","[(3, 4), 'RBF*RBF*Per_Year+Mat_1.5+Mat_0.5', -649.6969604492188]","[(3, 5), 'RBF*RBF*Per_Year+Mat_1.5+AR2', -681.1563720703125]","[(3, 6), 'RBF*RBF*Per_Year+Mat_1.5+Min', 566.9301147460938]","[(3, 7), 'RBF*RBF*Per_Year+Mat_1.5+Per_Arb', -32.64272689819336]","[(3, 8), 'RBF*RBF*Per_Year+Mat_1.5+Per_Year', -830.1242065429688]","[(3, 9), 'RBF*RBF*Per_Year+Mat_1.5+Per_Season', -2087.62255859375]","[(3, 10), 'RBF*RBF*Per_Year+Mat_1.5+Per_Month', -830.3770751953125]","[(3, 11), 'RBF*RBF*Per_Year+Mat_1.5+Per_Week', nan]","[(3, 12), 'RBF*RBF*Per_Year+Mat_1.5*RQ', -901.3053588867188]","[(3, 13), 'RBF*RBF*Per_Year+Mat_1.5*RBF', -879.3029174804688]","[(3, 14), 'RBF*RBF*Per_Year+Mat_1.5*Mat_2.5', -914.8068237304688]","[(3, 15), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5', -2281.0478515625]","[(3, 16), 'RBF*RBF*Per_Year+Mat_1.5*Mat_0.5', -1511.177001953125]","[(3, 17), 'RBF*RBF*Per_Year+Mat_1.5*AR2', -2063.291015625]","[(3, 18), 'RBF*RBF*Per_Year+Mat_1.5*Min', -2029.1094970703125]","[(3, 19), 'RBF*RBF*Per_Year+Mat_1.5*Per_Arb', 1252.6507568359375]","[(3, 20), 'RBF*RBF*Per_Year+Mat_1.5*Per_Year', 353.1458740234375]","[(3, 21), 'RBF*RBF*Per_Year+Mat_1.5*Per_Season', -617.3287963867188]","[(3, 22), 'RBF*RBF*Per_Year+Mat_1.5*Per_Month', -588.3843994140625]","[(3, 23), 'RBF*RBF*Per_Year+Mat_1.5*Per_Week', 1394.8988037109375]"
4,"[(4, 0), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+RQ', -2194.633544921875]","[(4, 1), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+RBF', -830.4161987304688]","[(4, 2), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Mat_2.5', -2161.44677734375]","[(4, 3), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Mat_1.5', -712.0997924804688]","[(4, 4), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Mat_0.5', -645.6759643554688]","[(4, 5), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+AR2', -627.7682495117188]","[(4, 6), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Min', 944.8485717773438]","[(4, 7), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Per_Arb', 104.43489837646484]","[(4, 8), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Per_Year', -805.657958984375]","[(4, 9), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Per_Season', -824.479248046875]","[(4, 10), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Per_Month', -2174.374755859375]","[(4, 11), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5+Per_Week', nan]","[(4, 12), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*RQ', -2089.946533203125]","[(4, 13), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*RBF', -2246.379638671875]","[(4, 14), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Mat_2.5', -2171.150390625]","[(4, 15), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Mat_1.5', -784.0289916992188]","[(4, 16), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Mat_0.5', -655.0240478515625]","[(4, 17), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*AR2', -143.88784790039062]","[(4, 18), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Min', -1567.896240234375]","[(4, 19), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Per_Arb', -2034.8255615234375]","[(4, 20), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Per_Year', 1225.0869140625]","[(4, 21), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Per_Season', -585.6104736328125]","[(4, 22), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Per_Month', -1777.4906005859375]","[(4, 23), 'RBF*RBF*Per_Year+Mat_1.5*Mat_1.5*Per_Week', -1875.4483642578125]"
