,0,1,2,3
0,"(0, 0)",RBF,5634.44384765625,"[['raw_outputscale', 0.6442375183105469], ['base_kernel.raw_lengthscale', 0.6464540362358093]]"
0,"(1, 0)",RBF,5634.44384765625,"[['raw_outputscale', 0.6442375183105469], ['base_kernel.raw_lengthscale', 0.6464540362358093]]"
1,"(1, 1)",RBF+RQ,5648.22314453125,"[['kernels.0.raw_outputscale', 0.644475519657135], ['kernels.0.base_kernel.raw_lengthscale', 0.7445372939109802], ['kernels.1.raw_outputscale', 0.6445577144622803], ['kernels.1.base_kernel.raw_lengthscale', 0.7440081834793091], ['kernels.1.base_kernel.raw_alpha', 0.6451231241226196]]"
2,"(1, 2)",RBF+RBF,5644.14208984375,"[['kernels.0.raw_outputscale', 0.6447504758834839], ['kernels.0.base_kernel.raw_lengthscale', 0.7389980554580688], ['kernels.1.raw_outputscale', 0.6447504758834839], ['kernels.1.base_kernel.raw_lengthscale', 0.7389980554580688]]"
3,"(1, 3)",RBF+Mat_2.5,5643.42529296875,"[['kernels.0.raw_outputscale', 0.6444723010063171], ['kernels.0.base_kernel.raw_lengthscale', 0.7445378303527832], ['kernels.1.raw_outputscale', 0.644604504108429], ['kernels.1.base_kernel.raw_lengthscale', 0.7414751648902893]]"
4,"(1, 4)",RBF+Mat_1.5,5640.87744140625,"[['kernels.0.raw_outputscale', 0.6445720791816711], ['kernels.0.base_kernel.raw_lengthscale', 0.7440906167030334], ['kernels.1.raw_outputscale', 0.6450590491294861], ['kernels.1.base_kernel.raw_lengthscale', 0.6440449953079224]]"
5,"(1, 5)",RBF+Mat_0.5,5638.0869140625,"[['kernels.0.raw_outputscale', 0.6445040106773376], ['kernels.0.base_kernel.raw_lengthscale', 0.7444646954536438], ['kernels.1.raw_outputscale', 0.6446101069450378], ['kernels.1.base_kernel.raw_lengthscale', 0.7443959712982178]]"
6,"(1, 6)",RBF+AR2,5713.16064453125,"[['kernels.0.raw_outputscale', 0.6442335844039917], ['kernels.0.base_kernel.raw_lengthscale', 0.6461533308029175], ['kernels.1.raw_outputscale', 0.6444465517997742], ['kernels.1.base_kernel.raw_lengthscale', 0.7445900440216064], ['kernels.1.base_kernel.raw_period', 0.0024314075708389282]]"
7,"(1, 7)",RBF+Min,5630.0947265625,"[['kernels.0.raw_outputscale', 0.6444787979125977], ['kernels.0.base_kernel.raw_lengthscale', 0.7444109320640564], ['kernels.1.raw_outputscale', 0.6448559165000916], ['kernels.1.base_kernel.raw_offset', 0.09064903110265732]]"
