,0,1,2,3
0,"(0, 0)",RBF+RFF*AR2+Min,-2268.345703125,"[['kernels.0.raw_outputscale', 0.008441617712378502], ['kernels.0.base_kernel.raw_lengthscale', 1.337329626083374], ['kernels.1.raw_outputscale', 0.0577591210603714], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9380953311920166], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.0004641133127734065], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0009969158563762903], ['kernels.2.raw_outputscale', 5.959221839904785], ['kernels.2.base_kernel.raw_offset', 0.00033109457581304014]]"
0,"(1, 0)",RBF+RFF*AR2+Min,-2272.0126953125,"[['kernels.0.raw_outputscale', 0.008046761155128479], ['kernels.0.base_kernel.raw_lengthscale', 1.3379390239715576], ['kernels.1.raw_outputscale', 0.057671476155519485], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9248356819152832], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.0004551021265797317], ['kernels.1.base_kernel.kernels.1.raw_period', 0.001003093901090324], ['kernels.2.raw_outputscale', 5.937737941741943], ['kernels.2.base_kernel.raw_offset', 0.0003206680703442544]]"
0,"(2, 0)",RBF+RFF*AR2+Min,-2273.09521484375,"[['kernels.0.raw_outputscale', 0.007804884109646082], ['kernels.0.base_kernel.raw_lengthscale', 1.338058352470398], ['kernels.1.raw_outputscale', 0.057609450072050095], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9262665510177612], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.0004502231895457953], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0010061442153528333], ['kernels.2.raw_outputscale', 5.945456504821777], ['kernels.2.base_kernel.raw_offset', 0.0003138433676213026]]"
