,0,1,2,3
0,"(0, 0)",AR2*RFF,-2267.6044921875,"[['raw_outputscale', 0.07677237689495087], ['base_kernel.kernels.0.raw_lengthscale', 0.00040086935041472316], ['base_kernel.kernels.0.raw_period', 0.0013630192261189222], ['base_kernel.kernels.1.raw_lengthscale', 1.8495184183120728]]"
1,"(0, 1)",AR2*RFF+RQ,-2308.329833984375,"[['kernels.0.raw_outputscale', 0.03959830850362778], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.0006030448712408543], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0007812621188350022], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 1.8823410272598267], ['kernels.1.raw_outputscale', 6.6994099617004395], ['kernels.1.base_kernel.raw_lengthscale', 0.007916794158518314], ['kernels.1.base_kernel.raw_alpha', 0.0011759824119508266]]"
0,"(1, 0)",AR2*RFF,-2267.890625,"[['raw_outputscale', 0.07676112651824951], ['base_kernel.kernels.0.raw_lengthscale', 0.00040029874071478844], ['base_kernel.kernels.0.raw_period', 0.0013645522994920611], ['base_kernel.kernels.1.raw_lengthscale', 1.8391139507293701]]"
1,"(1, 1)",AR2*RFF+RQ,-2288.713623046875,"[['kernels.0.raw_outputscale', 0.03211270645260811], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.0007798084407113492], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0007333299145102501], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 1.8828812837600708], ['kernels.1.raw_outputscale', 7.1399946212768555], ['kernels.1.base_kernel.raw_lengthscale', 0.005966386292129755], ['kernels.1.base_kernel.raw_alpha', 0.0014477617805823684]]"
2,"(1, 2)",AR2*RFF+RBF,-2301.271728515625,"[['kernels.0.raw_outputscale', 0.06674087047576904], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.00040589121636003256], ['kernels.0.base_kernel.kernels.0.raw_period', 0.001175066689029336], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 1.8612251281738281], ['kernels.1.raw_outputscale', 0.010930013842880726], ['kernels.1.base_kernel.raw_lengthscale', 0.009110976941883564]]"
3,"(1, 3)",AR2*RFF+Mat_2.5,-2306.908203125,"[['kernels.0.raw_outputscale', 0.06409559398889542], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.00040819976129569113], ['kernels.0.base_kernel.kernels.0.raw_period', 0.001128250965848565], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 1.8738211393356323], ['kernels.1.raw_outputscale', 0.01443546637892723], ['kernels.1.base_kernel.raw_lengthscale', 0.006839121226221323]]"
4,"(1, 4)",AR2*RFF+Mat_1.5,,"[['kernels.0.raw_outputscale', nan], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', nan], ['kernels.0.base_kernel.kernels.0.raw_period', nan], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', nan], ['kernels.1.raw_outputscale', nan], ['kernels.1.base_kernel.raw_lengthscale', nan]]"
5,"(1, 5)",AR2*RFF+Mat_0.5,-1443.297119140625,"[['kernels.0.raw_outputscale', 0.04590145871043205], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 2.1369686126708984], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0020750872790813446], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 2.6106579303741455], ['kernels.1.raw_outputscale', 1.908307671546936], ['kernels.1.base_kernel.raw_lengthscale', 0.025896817445755005]]"
6,"(1, 6)",AR2*RFF+AR2,-2330.75244140625,"[['kernels.0.raw_outputscale', 0.0411694273352623], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.0010118517093360424], ['kernels.0.base_kernel.kernels.0.raw_period', 0.003685177769511938], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 1.8273764848709106], ['kernels.1.raw_outputscale', 0.036565158516168594], ['kernels.1.base_kernel.raw_lengthscale', 0.00042353197932243347], ['kernels.1.base_kernel.raw_period', 0.0007827879162505269]]"
