,0,1,2,3
9,"(2, 9)",RBF+Min+Per_Year,5763.544921875,"[['kernels.0.raw_outputscale', 0.6684988737106323], ['kernels.0.base_kernel.raw_lengthscale', 0.7187284231185913], ['kernels.1.raw_outputscale', 0.6685395240783691], ['kernels.1.base_kernel.raw_offset', 0.09522274881601334], ['kernels.2.raw_outputscale', 0.6686556339263916], ['kernels.2.base_kernel.raw_lengthscale', 0.7178559303283691], ['kernels.2.base_kernel.raw_period_length', 0.09589533507823944]]"
10,"(2, 10)",RBF+Min+Per_Season,5771.0185546875,"[['kernels.0.raw_outputscale', 0.6684966087341309], ['kernels.0.base_kernel.raw_lengthscale', 0.7187330722808838], ['kernels.1.raw_outputscale', 0.6684653759002686], ['kernels.1.base_kernel.raw_offset', 0.09522274881601334], ['kernels.2.raw_outputscale', 0.6684475541114807], ['kernels.2.base_kernel.raw_lengthscale', 0.7188301682472229], ['kernels.2.base_kernel.raw_period_length', 0.03197496011853218]]"
11,"(2, 11)",RBF+Min+Per_Month,5777.57861328125,"[['kernels.0.raw_outputscale', 0.6684986352920532], ['kernels.0.base_kernel.raw_lengthscale', 0.7187293171882629], ['kernels.1.raw_outputscale', 0.6685253381729126], ['kernels.1.base_kernel.raw_offset', 0.09522274881601334], ['kernels.2.raw_outputscale', 0.668456494808197], ['kernels.2.base_kernel.raw_lengthscale', 0.7187548875808716], ['kernels.2.base_kernel.raw_period_length', 0.008224387653172016]]"
12,"(2, 12)",RBF+Min+Per_Week,5768.564453125,"[['kernels.0.raw_outputscale', 0.6685028076171875], ['kernels.0.base_kernel.raw_lengthscale', 0.7187240719795227], ['kernels.1.raw_outputscale', 0.6686059832572937], ['kernels.1.base_kernel.raw_offset', 0.09522365033626556], ['kernels.2.raw_outputscale', 0.7183924317359924], ['kernels.2.base_kernel.raw_lengthscale', 0.6689005494117737], ['kernels.2.base_kernel.raw_period_length', 0.0017818005289882421]]"
13,"(2, 13)",RBF+Min+Per_Unbounded,5766.68505859375,"[['kernels.0.raw_outputscale', 0.6685034036636353], ['kernels.0.base_kernel.raw_lengthscale', 0.7187153100967407], ['kernels.1.raw_outputscale', 0.668633222579956], ['kernels.1.base_kernel.raw_offset', 0.09522537887096405], ['kernels.2.raw_outputscale', 0.6684672236442566], ['kernels.2.base_kernel.raw_lengthscale', 0.7184577584266663], ['kernels.2.base_kernel.raw_period_length', 0.7182577252388]]"
14,"(2, 14)",RBF+Min*RFF,5749.27294921875,"[['kernels.0.raw_outputscale', 0.6684908270835876], ['kernels.0.base_kernel.raw_lengthscale', 0.7187257409095764], ['kernels.1.raw_outputscale', 0.6685162782669067], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09517676383256912], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7183720469474792]]"
15,"(2, 15)",RBF+Min*RQ,5753.7236328125,"[['kernels.0.raw_outputscale', 0.6684908866882324], ['kernels.0.base_kernel.raw_lengthscale', 0.7187258005142212], ['kernels.1.raw_outputscale', 0.6685213446617126], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09517322480678558], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187050580978394], ['kernels.1.base_kernel.kernels.1.raw_alpha', 0.7170237302780151]]"
16,"(2, 16)",RBF+Min*RBF,5749.26220703125,"[['kernels.0.raw_outputscale', 0.6684910655021667], ['kernels.0.base_kernel.raw_lengthscale', 0.7187258005142212], ['kernels.1.raw_outputscale', 0.6685213446617126], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09517639875411987], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.718713104724884]]"
17,"(2, 17)",RBF+Min*Mat_2.5,5749.4765625,"[['kernels.0.raw_outputscale', 0.668491005897522], ['kernels.0.base_kernel.raw_lengthscale', 0.7187251448631287], ['kernels.1.raw_outputscale', 0.6685208678245544], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09516534209251404], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187264561653137]]"
18,"(2, 18)",RBF+Min*Mat_1.5,5749.828125,"[['kernels.0.raw_outputscale', 0.6684911251068115], ['kernels.0.base_kernel.raw_lengthscale', 0.7187246680259705], ['kernels.1.raw_outputscale', 0.6685197949409485], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09515637159347534], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187349796295166]]"
19,"(2, 19)",RBF+Min*Mat_0.5,5756.59521484375,"[['kernels.0.raw_outputscale', 0.6684902310371399], ['kernels.0.base_kernel.raw_lengthscale', 0.7187237739562988], ['kernels.1.raw_outputscale', 0.6684883832931519], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09514232724905014], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187362909317017]]"
20,"(2, 20)",RBF+Min*AR2,5829.83642578125,"[['kernels.0.raw_outputscale', 0.6684554815292358], ['kernels.0.base_kernel.raw_lengthscale', 0.6689642071723938], ['kernels.1.raw_outputscale', 0.6684637069702148], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09513480216264725], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187648415565491], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0024889244232326746]]"
21,"(2, 21)",RBF+Min*Min,5749.8828125,"[['kernels.0.raw_outputscale', 0.6684886813163757], ['kernels.0.base_kernel.raw_lengthscale', 0.7187353372573853], ['kernels.1.raw_outputscale', 0.6685255765914917], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09517322480678558], ['kernels.1.base_kernel.kernels.1.raw_offset', 0.09516589343547821]]"
22,"(2, 22)",RBF+Min*Per_Arb,5761.7919921875,"[['kernels.0.raw_outputscale', 0.6684895753860474], ['kernels.0.base_kernel.raw_lengthscale', 0.7187332510948181], ['kernels.1.raw_outputscale', 0.6684918403625488], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09514857828617096], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7184687256813049], ['kernels.1.base_kernel.kernels.1.raw_period_length', 0.48654764890670776]]"
23,"(2, 23)",RBF+Min*Per_Year,5773.2333984375,"[['kernels.0.raw_outputscale', 0.6684873104095459], ['kernels.0.base_kernel.raw_lengthscale', 0.7187399864196777], ['kernels.1.raw_outputscale', 0.6684806942939758], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09516234695911407], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7186230421066284], ['kernels.1.base_kernel.kernels.1.raw_period_length', 0.0953766331076622]]"
24,"(2, 24)",RBF+Min*Per_Season,5786.6591796875,"[['kernels.0.raw_outputscale', 0.6684886813163757], ['kernels.0.base_kernel.raw_lengthscale', 0.7187402248382568], ['kernels.1.raw_outputscale', 0.6684693098068237], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09513797610998154], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187770009040833], ['kernels.1.base_kernel.kernels.1.raw_period_length', 0.03165918216109276]]"
25,"(2, 25)",RBF+Min*Per_Month,5801.033203125,"[['kernels.0.raw_outputscale', 0.6684885025024414], ['kernels.0.base_kernel.raw_lengthscale', 0.7187421917915344], ['kernels.1.raw_outputscale', 0.6685182452201843], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09513325989246368], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187565565109253], ['kernels.1.base_kernel.kernels.1.raw_period_length', 0.008233202621340752]]"
26,"(2, 26)",RBF+Min*Per_Week,5818.73046875,"[['kernels.0.raw_outputscale', 0.6684918403625488], ['kernels.0.base_kernel.raw_lengthscale', 0.7187327742576599], ['kernels.1.raw_outputscale', 0.6685696244239807], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09519662708044052], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7187288403511047], ['kernels.1.base_kernel.kernels.1.raw_period_length', 0.0018075729021802545]]"
27,"(2, 27)",RBF+Min*Per_Unbounded,5760.60107421875,"[['kernels.0.raw_outputscale', 0.668491780757904], ['kernels.0.base_kernel.raw_lengthscale', 0.7187213897705078], ['kernels.1.raw_outputscale', 0.6685103178024292], ['kernels.1.base_kernel.kernels.0.raw_offset', 0.09513851255178452], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.7184213995933533], ['kernels.1.base_kernel.kernels.1.raw_period_length', 0.7183662056922913]]"
