,0,1,2,3
0,"(0, 0)",RBF+RFF*AR2+Min,-2260.00146484375,"[['kernels.0.raw_outputscale', 0.009254484437406063], ['kernels.0.base_kernel.raw_lengthscale', 1.3363760709762573], ['kernels.1.raw_outputscale', 0.05810646712779999], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9243911504745483], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.00048419239465147257], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0009862275328487158], ['kernels.2.raw_outputscale', 5.952759742736816], ['kernels.2.base_kernel.raw_offset', 0.0003540588659234345]]"
0,"(1, 0)",RBF+RFF*AR2+Min,-2268.68798828125,"[['kernels.0.raw_outputscale', 0.008408401161432266], ['kernels.0.base_kernel.raw_lengthscale', 1.3374402523040771], ['kernels.1.raw_outputscale', 0.05775918811559677], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9308229684829712], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.0004629691247828305], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0009979523019865155], ['kernels.2.raw_outputscale', 5.939391613006592], ['kernels.2.base_kernel.raw_offset', 0.0003307292645331472]]"
0,"(2, 0)",RBF+RFF*AR2+Min,-2270.060546875,"[['kernels.0.raw_outputscale', 0.008228649385273457], ['kernels.0.base_kernel.raw_lengthscale', 1.3376095294952393], ['kernels.1.raw_outputscale', 0.05775558948516846], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9269466400146484], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.00045890864566899836], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0010005214717239141], ['kernels.2.raw_outputscale', 5.927535057067871], ['kernels.2.base_kernel.raw_offset', 0.0003261832462158054]]"
