,0,1,2,3
0,"(0, 0)",RBF+RFF*AR2+Min,-2267.61328125,"[['kernels.0.raw_outputscale', 0.008515546098351479], ['kernels.0.base_kernel.raw_lengthscale', 1.3373297452926636], ['kernels.1.raw_outputscale', 0.05783284455537796], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9417040348052979], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.00046531634870916605], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0009965123608708382], ['kernels.2.raw_outputscale', 5.933428764343262], ['kernels.2.base_kernel.raw_offset', 0.0003339194518048316]]"
0,"(1, 0)",RBF+RFF*AR2+Min,-2259.8193359375,"[['kernels.0.raw_outputscale', 0.009160488843917847], ['kernels.0.base_kernel.raw_lengthscale', 1.3365861177444458], ['kernels.1.raw_outputscale', 0.05806577950716019], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9215683937072754], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.00048145256005227566], ['kernels.1.base_kernel.kernels.1.raw_period', 0.000987787265330553], ['kernels.2.raw_outputscale', 5.941460609436035], ['kernels.2.base_kernel.raw_offset', 0.00035177639801986516]]"
1,"(1, 1)",RBF+RFF*AR2+Min+RQ,-2256.729248046875,"[['kernels.0.raw_outputscale', 0.006245580967515707], ['kernels.0.base_kernel.raw_lengthscale', 1.3861545324325562], ['kernels.1.raw_outputscale', 0.057706013321876526], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.930574893951416], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.00045911507913842797], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0009999133180826902], ['kernels.2.raw_outputscale', 5.969852924346924], ['kernels.2.base_kernel.raw_offset', 0.00026559681282378733], ['kernels.3.raw_outputscale', 0.006673105526715517], ['kernels.3.base_kernel.raw_lengthscale', 1.3493088483810425], ['kernels.3.base_kernel.raw_alpha', 1.1121083498001099]]"
2,"(1, 2)",RBF+RFF*AR2+Min+RBF,-2270.066650390625,"[['kernels.0.raw_outputscale', 0.005254935938864946], ['kernels.0.base_kernel.raw_lengthscale', 1.3794697523117065], ['kernels.1.raw_outputscale', 0.05740731954574585], ['kernels.1.base_kernel.kernels.0.raw_lengthscale', 1.9330649375915527], ['kernels.1.base_kernel.kernels.1.raw_lengthscale', 0.00043817152618430555], ['kernels.1.base_kernel.kernels.1.raw_period', 0.0010142694227397442], ['kernels.2.raw_outputscale', 6.008067607879639], ['kernels.2.base_kernel.raw_offset', 0.00024335080524906516], ['kernels.3.raw_outputscale', 0.005254935938864946], ['kernels.3.base_kernel.raw_lengthscale', 1.3794697523117065]]"
