,time,wind_dir,wind_spd,gust,wave_height,dominant_wpd,average_wpd,mean_wave_dir,air_pressure,air_temperature,sea_surface_temperature,dewpt_temperature,visibility,water_level
35,1514829568.0,999.0,99.0,99.0,0.5099999904632568,12.5,6.510000228881836,229.0,9999.0,999.0,16.5,999.0,99.0,99.0
36,1514831360.0,999.0,99.0,99.0,0.49000000953674316,12.5,6.769999980926514,212.0,9999.0,999.0,16.5,999.0,99.0,99.0
37,1514833152.0,999.0,99.0,99.0,0.5,13.329999923706055,7.130000114440918,216.0,9999.0,999.0,16.5,999.0,99.0,99.0
38,1514834944.0,999.0,99.0,99.0,0.4699999988079071,12.5,6.929999828338623,226.0,9999.0,999.0,16.5,999.0,99.0,99.0
39,1514836736.0,999.0,99.0,99.0,0.46000000834465027,13.329999923706055,6.949999809265137,213.0,9999.0,999.0,16.5,999.0,99.0,99.0
40,1514838656.0,999.0,99.0,99.0,0.44999998807907104,12.5,6.739999771118164,227.0,9999.0,999.0,16.5,999.0,99.0,99.0
41,1514840448.0,999.0,99.0,99.0,0.4399999976158142,12.5,7.159999847412109,213.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
42,1514842240.0,999.0,99.0,99.0,0.41999998688697815,12.5,7.170000076293945,215.0,9999.0,999.0,16.700000762939453,999.0,99.0,99.0
43,1514844032.0,999.0,99.0,99.0,0.4399999976158142,12.5,7.090000152587891,219.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
44,1514845824.0,999.0,99.0,99.0,0.44999998807907104,12.5,7.300000190734863,240.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
45,1514847616.0,999.0,99.0,99.0,0.44999998807907104,12.5,6.340000152587891,213.0,9999.0,999.0,16.5,999.0,99.0,99.0
46,1514849408.0,999.0,99.0,99.0,0.4699999988079071,12.5,5.230000019073486,230.0,9999.0,999.0,16.5,999.0,99.0,99.0
47,1514851200.0,999.0,99.0,99.0,0.49000000953674316,12.5,4.650000095367432,231.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
48,1514852992.0,999.0,99.0,99.0,0.49000000953674316,12.5,4.349999904632568,209.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
49,1514854784.0,999.0,99.0,99.0,0.49000000953674316,12.5,4.360000133514404,217.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
50,1514856576.0,999.0,99.0,99.0,0.5,11.109999656677246,4.170000076293945,241.0,9999.0,999.0,16.5,999.0,99.0,99.0
51,1514858368.0,999.0,99.0,99.0,0.5699999928474426,12.5,4.349999904632568,222.0,9999.0,999.0,16.5,999.0,99.0,99.0
52,1514860160.0,999.0,99.0,99.0,0.5199999809265137,12.5,4.269999980926514,216.0,9999.0,999.0,16.5,999.0,99.0,99.0
53,1514861952.0,999.0,99.0,99.0,0.5299999713897705,12.5,4.789999961853027,238.0,9999.0,999.0,16.5,999.0,99.0,99.0
54,1514863744.0,999.0,99.0,99.0,0.5199999809265137,15.380000114440918,4.820000171661377,231.0,9999.0,999.0,16.5,999.0,99.0,99.0
55,1514865664.0,999.0,99.0,99.0,0.49000000953674316,11.760000228881836,4.829999923706055,227.0,9999.0,999.0,16.5,999.0,99.0,99.0
56,1514867456.0,999.0,99.0,99.0,0.47999998927116394,16.670000076293945,4.710000038146973,240.0,9999.0,999.0,16.399999618530273,999.0,99.0,99.0
57,1514869248.0,999.0,99.0,99.0,0.49000000953674316,15.380000114440918,5.019999980926514,244.0,9999.0,999.0,16.5,999.0,99.0,99.0
58,1514871040.0,999.0,99.0,99.0,0.5199999809265137,15.380000114440918,6.110000133514404,226.0,9999.0,999.0,16.5,999.0,99.0,99.0
59,1514872832.0,999.0,99.0,99.0,0.46000000834465027,13.329999923706055,5.570000171661377,222.0,9999.0,999.0,16.5,999.0,99.0,99.0
60,1514874624.0,999.0,99.0,99.0,0.44999998807907104,15.380000114440918,5.869999885559082,248.0,9999.0,999.0,16.5,999.0,99.0,99.0
61,1514876416.0,999.0,99.0,99.0,0.4399999976158142,16.670000076293945,6.130000114440918,252.0,9999.0,999.0,16.5,999.0,99.0,99.0
62,1514878208.0,999.0,99.0,99.0,0.4699999988079071,12.5,6.639999866485596,230.0,9999.0,999.0,16.5,999.0,99.0,99.0
63,1514880000.0,999.0,99.0,99.0,0.4300000071525574,12.5,5.929999828338623,248.0,9999.0,999.0,16.5,999.0,99.0,99.0
