,Kernel Name,s1_ls_converted,s2_ls_converted,pk1_ls_converted,pk1_pr_converted,pk2_ls_converted,pk2_pr_converted,s3_ls_converted,s1_ls_raw,s2_ls_raw,pk1_ls_raw,pk1_pr_raw,pk2_ls_raw,pk2_pr_raw,s3_ls_raw,add_scale2_K2,add_period1_K3,scale3_mult_K4,scale3_mult_K4,Unnamed: 0.1,Kernel,Length_Scale_for_smoothing_term_1 (Days),Length_Scale_for_smoothing_term_2 (Days),Length_Scale_for_periodic_term_2 (Days),Period_Length_for_periodic_term_2 (Days),Unnamed: 0,add_scale1_K1,scale2_mult_K2,scale2_mult_K3,BIC,s1_ls,s2_ls,pk_ls,pk_pr
19,,,,,,,,,,,,,,,,,,,,19,Scale(Mat0.5)+Scale(Per_Week*Mat1.5),116.88883735957,5841.85120342396,8903.52913623386,7.27412401063826,19.0,Mat0.5,Per_Week,Mat1.5,-489.410400390625,0.0307866260409355,1.53864896297455,2.34504532814026,0.0019158864160999
20,,,,,,,,,,,,,,,,,,,,20,Scale(Mat0.5)+Scale(Per_Month*Mat1.5),136.94624764831,60.2616702064317,2558.41609612218,18.8319120531278,20.0,Mat0.5,Per_Month,Mat1.5,-402.086669921875,0.0360694229602813,0.0158719476312398,0.67384535074234,0.0049600205384194
21,,,,,,,,,,,,,,,,,,,,21,Scale(Mat0.5)+Scale(Per_Arb*Mat2.5),143.284934690705,2824.74485344357,5700.28169080946,5449.20170805189,21.0,Mat0.5,Per_Arb,Mat2.5,-392.073547363281,0.0377389304339885,0.743992030620575,1.50136184692383,1.43523144721985
22,,,,,,,,,,,,,,,,,,,,22,Scale(Mat0.5)+Scale(Per_Week*Mat2.5),119.58627467906,3895.23249915794,9137.72688660798,6.66979452788255,22.0,Mat0.5,Per_Week,Mat2.5,-322.171630859375,0.031497087329626,1.02594113349915,2.40672922134399,0.0017567158211022
23,,,,,,,,,,,,,,,,,,,,23,Scale(Mat0.5)+Scale(Per_Month*Mat2.5),129.431518499498,121.941032100607,683.594912378876,32.1628131805744,23.0,Mat0.5,Per_Month,Mat2.5,-296.835205078125,0.0340901650488376,0.0321172922849655,0.180047824978828,0.0084711639210581
24,,,,,,,,,,,,,,,,,,,,24,Scale(Mat1.5)+Scale(Per_Arb*RBF),38.2773537939345,3826.04929189329,4257.06309459828,4093.51499741166,24.0,Mat1.5,Per_Arb,RBF,-250.053970336914,0.0100816348567605,1.00771939754486,1.12124145030975,1.07816553115845
25,,,,,,,,,,,,,,,,,,,,25,Scale(Mat1.5)+Scale(Per_Week*RBF),535.629953004696,3812.8435842726,1478.57963134624,6.56584613521876,25.0,Mat1.5,Per_Week,RBF,47.1877288818359,0.141076251864433,1.00424122810364,0.389433920383453,0.0017293374985456
26,,,,,,,,,,,,,,,,,,,,26,Scale(Mat1.5)+Scale(Per_Month*RBF),38.4926390311229,90.9547596010894,784.138789874536,21.695622247402,26.0,Mat1.5,Per_Month,RBF,368.221435546875,0.0101383375003933,0.0239560101181268,0.206529453396797,0.0057142754085361
27,,,,,,,,,,,,,,,,,,,,27,Scale(Mat1.5)+Scale(Per_Arb*Mat0.5),3030.71012525205,105.029606580734,5973.8784075843,5926.8036830337,27.0,Mat1.5,Per_Arb,Mat0.5,395.543212890625,0.798239946365356,0.0276630967855453,1.57342278957367,1.56102406978607
28,,,,,,,,,,,,,,,,,,,,28,Scale(Mat1.5)+Scale(Per_Week*Mat0.5),2254.23741905778,209.177959499536,17015.4436069065,6.00600869318929,28.0,Mat1.5,Per_Week,Mat0.5,509.828369140625,0.593729615211487,0.0550940856337547,4.48159217834473,0.0015818853862583
29,,,,,,,,,,,,,,,,,,,,29,Scale(Mat1.5)+Scale(Per_Month*Mat0.5),2285.66801703418,186.759313854906,1841.13439761268,30.1053512206781,29.0,Mat1.5,Per_Month,Mat0.5,698.042236328125,0.602007925510407,0.0491893775761127,0.484924972057343,0.0079292617738246
30,,,,,,,,,,,,,,,,,,,,30,Scale(Mat1.5)+Scale(Per_Arb*Mat1.5),38.1268443641836,1730.2562629735,4853.66127233152,4997.380667086,30.0,Mat1.5,Per_Arb,Mat1.5,699.712646484375,0.0100419931113719,0.455721467733383,1.27837574481964,1.31622910499573
31,,,,,,,,,,,,,,,,,,,,31,Scale(Mat1.5)+Scale(Per_Week*Mat1.5),38.3625075138274,127.457855975186,11838.071186207,5.68612355711251,31.0,Mat1.5,Per_Week,Mat1.5,1037.09790039063,0.0101040629670023,0.0335703343152999,3.11795616149902,0.0014976328238844
32,,,,,,,,,,,,,,,,,,,,32,Scale(Mat1.5)+Scale(Per_Month*Mat1.5),43.8282610796112,76.7587625196686,1241.89480679124,24.9100567176935,32.0,Mat1.5,Per_Month,Mat1.5,1056.80786132813,0.0115436539053916,0.0202170144766569,0.327094972133637,0.0065609053708612
33,,,,,,,,,,,,,,,,,,,,33,Scale(Mat1.5)+Scale(Per_Arb*Mat2.5),38.2529342444958,1883.96434960542,4400.02482562595,4536.03451672307,33.0,Mat1.5,Per_Arb,Mat2.5,1119.73559570313,0.0100752031430602,0.496205687522888,1.15889525413513,1.19471800327301
