path_location,Kernel,BIC
"(2, 11)",'Min+AR2*AR2+Per_Week',
"(0, 12)",'Min*RBF',415.72601318359375
"(1, 12)",'Min+AR2*RBF',-2280.0322265625
"(2, 12)",'Min+AR2*AR2*RBF',-2315.197265625
"(0, 13)",'Min*Mat_2.5',413.92425537109375
"(1, 13)",'Min+AR2*Mat_2.5',-2276.357666015625
"(2, 13)",'Min+AR2*AR2*Mat_2.5',-2318.59033203125
"(0, 14)",'Min*Mat_1.5',416.33148193359375
"(1, 14)",'Min+AR2*Mat_1.5',-2282.4462890625
"(2, 14)",'Min+AR2*AR2*Mat_1.5',-2320.31298828125
"(0, 15)",'Min*Mat_0.5',-1413.659912109375
"(1, 15)",'Min+AR2*Mat_0.5',-1961.165283203125
"(2, 15)",'Min+AR2*AR2*Mat_0.5',-1980.784423828125
"(0, 16)",'Min*RQ',419.7333679199219
"(1, 16)",'Min+AR2*RQ',-2277.95263671875
"(2, 16)",'Min+AR2*AR2*RQ',-2315.08984375
"(0, 17)",'Min*AR2',-2265.296875
"(1, 17)",'Min+AR2*AR2',-2322.08935546875
"(2, 17)",'Min+AR2*AR2*AR2',-2311.190185546875
"(0, 18)",'Min*Min',
"(1, 18)",'Min+AR2*Min',-858.3370361328125
"(2, 18)",'Min+AR2*AR2*Min',-2191.80859375
"(0, 19)",'Min*Per_Arb',474.5165710449219
"(1, 19)",'Min+AR2*Per_Arb',-2282.85888671875
"(2, 19)",'Min+AR2*AR2*Per_Arb',-2311.79296875
"(0, 20)",'Min*Per_Year',842.5615234375
"(1, 20)",'Min+AR2*Per_Year',-535.7037353515625
"(2, 20)",'Min+AR2*AR2*Per_Year',-2309.679443359375
"(0, 21)",'Min*Per_Season',702.0702514648438
"(1, 21)",'Min+AR2*Per_Season',-1598.0123291015625
"(2, 21)",'Min+AR2*AR2*Per_Season',-539.3531494140625
"(0, 22)",'Min*Per_Month',703.0966796875
"(1, 22)",'Min+AR2*Per_Month',-455.5523681640625
"(2, 22)",'Min+AR2*AR2*Per_Month',-1358.9166259765625
"(0, 0)",'RBF',-2010.927734375
"(1, 0)",'RBF+AR2+RBF',-2296.680419921875
"(2, 0)",'RBF+AR2*Per_Year+RBF',-2292.869873046875
"(3, 0)",'RBF+AR2*Per_Year*RBF+RBF',-2308.54736328125
"(4, 0)",'RBF+AR2*Per_Year*RBF*Mat_1.5+RBF',-2326.375732421875
"(0, 1)",'RBF+Mat_2.5',-2131.123046875
"(1, 1)",'RBF+AR2+Mat_2.5',-2333.44775390625
"(2, 1)",'RBF+AR2*Per_Year+Mat_2.5',
"(3, 1)",'RBF+AR2*Per_Year*RBF+Mat_2.5',-2029.7894287109373
"(4, 1)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Mat_2.5',-2291.3857421875
"(0, 2)",'RBF+Mat_1.5',
"(1, 2)",'RBF+AR2+Mat_1.5',
"(2, 2)",'RBF+AR2*Per_Year+Mat_1.5',-2080.906982421875
"(3, 2)",'RBF+AR2*Per_Year*RBF+Mat_1.5',-2010.8145751953125
"(4, 2)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Mat_1.5',-1994.3599853515625
"(0, 3)",'RBF+Mat_0.5',-1421.6612548828125
"(1, 3)",'RBF+AR2+Mat_0.5',-1466.1295166015625
"(2, 3)",'RBF+AR2*Per_Year+Mat_0.5',-1332.2467041015625
"(3, 3)",'RBF+AR2*Per_Year*RBF+Mat_0.5',-1337.715087890625
"(4, 3)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Mat_0.5',-1386.2291259765625
"(0, 4)",'RBF+RQ',-1821.930419921875
"(1, 4)",'RBF+AR2+RQ',-2272.04833984375
"(2, 4)",'RBF+AR2*Per_Year+RQ',-917.0499267578124
"(3, 4)",'RBF+AR2*Per_Year*RBF+RQ',-484.9781799316406
"(4, 4)",'RBF+AR2*Per_Year*RBF*Mat_1.5+RQ',-1260.060791015625
"(0, 5)",'RBF+AR2',-2305.77490234375
"(1, 5)",'RBF+AR2+AR2',-2290.93798828125
"(2, 5)",'RBF+AR2*Per_Year+AR2',-2284.088134765625
"(3, 5)",'RBF+AR2*Per_Year*RBF+AR2',-2275.9365234375
"(4, 5)",'RBF+AR2*Per_Year*RBF*Mat_1.5+AR2',-2275.38720703125
"(0, 6)",'RBF+Min',410.1044616699219
"(1, 6)",'RBF+AR2+Min',-2270.15283203125
"(2, 6)",'RBF+AR2*Per_Year+Min',-2269.99609375
"(3, 6)",'RBF+AR2*Per_Year*RBF+Min',-1875.6514892578125
